WKT,Analyser,Gns. mg/l,Min. mg/l,Maks. mg/l,Gns. topdybde,Min. topdybde,Maks. topdybde,Min. dato,Maks. dato,objectid,rgb,txt_search
"POLYGON ((475000 6185000,480000 6185000,480000 6190000,475000 6190000,475000 6185000))","     13","     47.6","      6.8","     85.0","     15.8","      8.0","     24.0",1914-02-24,2010-07-26,"       105645",255 125 0,
"POLYGON ((490000 6185000,495000 6185000,495000 6190000,490000 6190000,490000 6185000))","     30","     22.6","      2.0","     63.0","     15.2","      -.5","     30.0",1959-08-24,2006-11-14,"       155275",255 255 0,
"POLYGON ((570000 6195000,575000 6195000,575000 6200000,570000 6200000,570000 6195000))","     35","     18.9","      2.0","     84.0","     18.7","      2.0","     64.0",1959-05-25,2014-08-07,"         6539",255 255 0,
"POLYGON ((450000 6175000,455000 6175000,455000 6180000,450000 6180000,450000 6175000))","      9","     16.0","      2.0","     72.0","     45.6","      8.0","    113.0",1978-06-26,2014-04-16,"       106068",255 255 0,
"POLYGON ((485000 6175000,490000 6175000,490000 6180000,485000 6180000,485000 6175000))","     15","     25.1","      2.0","     78.0","     13.9","      2.4","     40.0",1985-08-20,2003-08-11,"       153344",255 125 0,
"POLYGON ((490000 6175000,495000 6175000,495000 6180000,490000 6180000,490000 6175000))","     22","     13.5","      2.2","     41.0","     19.3","      2.0","     73.0",1982-06-18,2018-10-17,"       106153",255 255 0,
"POLYGON ((520000 6175000,525000 6175000,525000 6180000,520000 6180000,520000 6175000))","      6","     26.8","      5.4","     46.0","     31.9","     24.0","     49.5",1977-02-02,2013-05-13,"       106345",255 125 0,
"POLYGON ((510000 6175000,515000 6175000,515000 6180000,510000 6180000,510000 6175000))","      5","     28.6","      2.0","     74.0","     30.4","     18.0","     53.0",1977-05-23,2013-03-12,"       106390",255 125 0,
"POLYGON ((455000 6160000,460000 6160000,460000 6165000,455000 6165000,455000 6160000))","     11","     19.5","      2.1","     99.0","     24.1","     16.0","     28.0",1951-10-10,2014-04-16,"       106721",255 255 0,
"POLYGON ((495000 6160000,500000 6160000,500000 6165000,495000 6165000,495000 6160000))","     18","     14.6","      2.2","     52.0","     20.0","      8.0","     34.0",1974-08-21,2019-10-08,"       106860",255 255 0,
"POLYGON ((515000 6160000,520000 6160000,520000 6165000,515000 6165000,515000 6160000))","      2","     13.0","     10.0","     16.0","     36.3","     36.0","     36.5",1982-06-03,1999-01-07,"       106961",255 255 0,
