WKT,Analyser,Gns. mg/l,Min. mg/l,Maks. mg/l,Gns. topdybde,Min. topdybde,Maks. topdybde,Min. dato,Maks. dato,objectid,rgb,txt_search
"POLYGON ((575000 6130000,580000 6130000,580000 6135000,575000 6135000,575000 6130000))","     40","     18.2","      2.0","     99.0","     26.9","      8.0","     67.5",1961-08-15,2017-06-28,"       151202",255 255 0,
"POLYGON ((610000 6130000,615000 6130000,615000 6135000,610000 6135000,610000 6130000))","    125","     20.9","      2.0","    150.0","     24.9","      4.0","     55.4",1919-10-21,2020-10-12,"       131080",255 255 0,
"POLYGON ((505000 6105000,510000 6105000,510000 6110000,505000 6110000,505000 6105000))","      2","     27.5","     21.0","     34.0","     24.5","     20.0","     29.0",1993-10-18,1993-10-18,"   1996011207",255 125 0,
"POLYGON ((530000 6095000,535000 6095000,535000 6100000,530000 6100000,530000 6095000))","      5","     18.3","      3.2","     45.0","     21.0","      8.0","     34.0",1995-03-06,2001-11-29,"   2001015862",255 255 0,
"POLYGON ((540000 6090000,545000 6090000,545000 6095000,540000 6095000,540000 6090000))","      9","     35.2","      8.8","     67.0","     11.0","      6.0","     19.0",1968-04-27,2001-10-19,"   1995002453",255 125 0,
"POLYGON ((565000 6100000,570000 6100000,570000 6105000,565000 6105000,565000 6100000))","      1","     32.0","     32.0","     32.0","     18.0","     18.0","     18.0",1974-06-14,1974-06-14,"       109079",255 125 0,
"POLYGON ((570000 6105000,575000 6105000,575000 6110000,570000 6110000,570000 6105000))","      6","     33.8","     10.0","     70.0","     31.4","     15.0","     60.5",1958-11-18,1968-03-05,"   2006058954",255 125 0,
"POLYGON ((560000 6090000,565000 6090000,565000 6095000,560000 6095000,560000 6090000))","     28","     40.5","      2.0","    139.0","     29.1","      5.0","     89.6",1976-08-01,2020-11-02,"   1996011735",255 125 0,
"POLYGON ((645000 6200000,650000 6200000,650000 6205000,645000 6205000,645000 6200000))","      1","      2.2","      2.2","      2.2","     53.0","     53.0","     53.0",1977-09-20,1977-09-20,"   2006388274",0 255 0,
"POLYGON ((715000 6195000,720000 6195000,720000 6200000,715000 6200000,715000 6195000))","     15","     12.8","      2.2","     89.0","     28.9","      6.0","     54.0",1918-06-28,2016-08-09,"       110882",255 255 0,
"POLYGON ((670000 6180000,675000 6180000,675000 6185000,670000 6185000,670000 6180000))","    223","     68.9","      2.0","    263.0","     16.8","      4.0","     40.0",1931-02-07,2020-11-30,"       111199",255 0 0,
"POLYGON ((690000 6185000,695000 6185000,695000 6190000,690000 6190000,690000 6185000))","     38","     18.3","      2.0","     71.0","     16.3","      5.5","     20.5",1971-06-01,2018-11-01,"   2009003601",255 255 0,
"POLYGON ((635000 6160000,640000 6160000,640000 6165000,635000 6165000,635000 6160000))","     31","      4.3","      2.0","     50.0","     21.9","      6.3","     43.5",1986-01-01,2012-07-17,"       213751",0 255 0,
"POLYGON ((670000 6155000,675000 6155000,675000 6160000,670000 6160000,670000 6155000))","      5","      9.0","      2.0","     30.0","     44.8","      1.0","    125.0",1964-08-31,2002-09-23,"       112122",0 255 0,
"POLYGON ((635000 6145000,640000 6145000,640000 6150000,635000 6150000,635000 6145000))","      1","     10.0","     10.0","     10.0","     17.0","     17.0","     17.0",1949-11-11,1949-11-11,"       112465",255 255 0,
"POLYGON ((640000 6135000,645000 6135000,645000 6140000,640000 6140000,640000 6135000))","    118","    132.2","      2.3","    780.0","     14.1","      1.5","     33.0",1979-10-31,2017-11-03,"       151338",255 0 0,
"POLYGON ((700000 6130000,705000 6130000,705000 6135000,700000 6135000,700000 6130000))","      5","     15.5","      2.8","     39.0","     22.5","      4.0","     46.0",1960-09-19,2002-11-21,"       114630",255 255 0,
"POLYGON ((635000 6110000,640000 6110000,640000 6115000,635000 6115000,635000 6110000))","     73","     89.3","      2.0","    240.0","     13.3","      2.0","     31.0",1964-10-29,2020-02-06,"       115137",255 0 0,
"POLYGON ((675000 6090000,680000 6090000,680000 6095000,675000 6095000,675000 6090000))","      4","     70.0","      2.0","    220.0","     21.1","      3.5","     30.4",1963-10-30,2008-06-30,"       116105",255 0 0,
"POLYGON ((655000 6075000,660000 6075000,660000 6080000,655000 6080000,655000 6075000))","     20","     26.5","      4.0","    122.0","     18.7","      2.1","     34.5",1965-09-03,2017-11-27,"       116292",255 125 0,
"POLYGON ((675000 6070000,680000 6070000,680000 6075000,675000 6075000,675000 6070000))","     72","     11.9","      2.0","     37.0","     15.5","      6.5","     21.3",1963-10-30,2017-11-15,"       116376",255 255 0,
"POLYGON ((885000 6115000,890000 6115000,890000 6120000,885000 6120000,885000 6115000))","    142","     29.8","      2.0","    187.0","     38.9","      2.6","     90.0",1938-04-08,2020-10-19,"       116761",255 125 0,
"POLYGON ((560000 6275000,565000 6275000,565000 6280000,560000 6280000,560000 6275000))","     21","     41.0","      2.0","    100.0","     28.7","       .4","     75.0",1938-10-05,2017-03-01,"       102071",255 125 0,
"POLYGON ((490000 6120000,495000 6120000,495000 6125000,490000 6125000,490000 6120000))","      2","      3.2","      2.4","      3.9","     89.0","     11.0","    167.0",1970-02-25,2000-10-31,"       108687",0 255 0,
"POLYGON ((480000 6120000,485000 6120000,485000 6125000,480000 6125000,480000 6120000))","      5","     33.0","      2.0","     53.0","     26.3","      2.0","     72.0",1994-04-18,2001-10-19,"   2002001444",255 125 0,
"POLYGON ((475000 6250000,480000 6250000,480000 6255000,475000 6255000,475000 6250000))","    224","     24.2","      2.1","     75.0","     59.1","      8.6","    126.0",1963-10-21,2020-10-01,"         4180",255 255 0,
"POLYGON ((575000 6145000,580000 6145000,580000 6150000,575000 6150000,575000 6145000))","    133","     20.2","      2.4","    120.0","     12.2","      4.0","     44.5",1965-05-17,2020-06-09,"   1999006175",255 255 0,
"POLYGON ((520000 6320000,525000 6320000,525000 6325000,520000 6325000,520000 6320000))","      7","     26.9","      2.6","     72.0","     24.0","      2.0","     57.0",1992-08-13,2017-11-14,"   2009028798",255 125 0,
"POLYGON ((670000 6065000,675000 6065000,675000 6070000,670000 6070000,670000 6065000))","      7","    161.9","      4.1","    640.0","     14.7","      1.8","     40.5",1963-10-30,2017-02-21,"       116582",255 0 0,
"POLYGON ((600000 6105000,605000 6105000,605000 6110000,600000 6110000,600000 6105000))","     10","     10.0","      2.0","     33.2","     24.3","      5.0","     53.0",2002-08-22,2019-09-09,"   2004034814",0 255 0,
"POLYGON ((580000 6145000,585000 6145000,585000 6150000,580000 6150000,580000 6145000))","      7","     15.2","      4.0","     46.5","      9.5","      5.0","     18.0",1980-01-22,2017-01-25,"   2006057319",255 255 0,
"POLYGON ((535000 6160000,540000 6160000,540000 6165000,535000 6165000,535000 6160000))","     60","     21.7","      2.0","    250.0","     18.9","      1.9","     84.0",1964-12-09,2020-10-14,"       107017",255 255 0,
"POLYGON ((510000 6105000,515000 6105000,515000 6110000,510000 6110000,510000 6105000))","      8","     41.8","      2.3","     69.0","     35.1","     10.2","     54.0",1976-06-04,2006-03-28,"       108983",255 125 0,
"POLYGON ((445000 6170000,450000 6170000,450000 6175000,445000 6175000,445000 6170000))","      4","      7.4","      2.3","     19.0","     13.8","      7.5","     17.0",2005-09-30,2005-12-12,"   2006552702",0 255 0,
"POLYGON ((675000 6185000,680000 6185000,680000 6190000,675000 6190000,675000 6185000))","     13","     41.8","     21.0","     63.0","     12.2","      6.5","     15.8",1962-01-01,2013-02-14,"   2006027519",255 125 0,
"POLYGON ((495000 6125000,500000 6125000,500000 6130000,495000 6130000,495000 6125000))","     13","     19.1","      2.1","     44.0","     18.7","      1.0","     39.9",1990-11-27,2017-11-20,"   2002001352",255 255 0,
"POLYGON ((555000 6095000,560000 6095000,560000 6100000,555000 6100000,555000 6095000))","     15","     41.7","     17.0","     63.0","      8.0","      1.5","     12.5",2001-08-17,2020-04-20,"   2002001637",255 125 0,
"POLYGON ((545000 6300000,550000 6300000,550000 6305000,545000 6305000,545000 6300000))","     11","     41.3","     13.0","     65.0","     45.7","       .5","     67.5",1979-08-16,2010-03-17,"       101861",255 125 0,
"POLYGON ((630000 6070000,635000 6070000,635000 6075000,630000 6075000,630000 6070000))","      5","     33.8","      2.1","     70.0","      2.8","      2.2","      3.3",2002-11-25,2019-08-05,"   2003002596",255 125 0,
"POLYGON ((475000 6240000,480000 6240000,480000 6245000,475000 6245000,475000 6240000))","     52","     32.3","      4.0","     93.0","     10.0","       .0","     93.0",1977-07-27,2018-12-19,"         2249",255 125 0,
"POLYGON ((600000 6100000,605000 6100000,605000 6105000,600000 6105000,600000 6100000))","     39","     18.6","      2.0","    100.0","      9.2","      1.5","     30.0",1992-12-01,2019-11-19,"   1996006878",255 255 0,
"POLYGON ((615000 6100000,620000 6100000,620000 6105000,615000 6105000,615000 6100000))","      8","     37.4","     10.0","     65.0","     21.8","      5.0","     36.9",1976-12-14,2018-11-16,"   2010018234",255 125 0,
"POLYGON ((605000 6135000,610000 6135000,610000 6140000,605000 6140000,605000 6135000))","     18","     13.0","      2.6","     49.0","     16.2","      2.0","     35.5",1977-01-17,2017-03-06,"       108626",255 255 0,
"POLYGON ((575000 6105000,580000 6105000,580000 6110000,575000 6110000,575000 6105000))","     10","     45.3","      7.8","    173.0","     10.7","       .9","     40.0",1914-12-21,2019-06-18,"       109125",255 125 0,
"POLYGON ((560000 6375000,565000 6375000,565000 6380000,560000 6380000,560000 6375000))","     15","     14.0","      2.0","     42.0","     28.1","     20.5","     34.2",1965-04-01,1998-09-30,"       100164",255 255 0,
"POLYGON ((560000 6335000,565000 6335000,565000 6340000,560000 6340000,560000 6335000))","      1","     14.0","     14.0","     14.0","     19.5","     19.5","     19.5",1976-10-20,1976-10-20,"       101244",255 255 0,
"POLYGON ((530000 6320000,535000 6320000,535000 6325000,530000 6325000,530000 6320000))","     10","     14.5","      4.4","     21.0","     19.6","      1.0","     38.1",1949-01-25,2018-12-20,"       101030",255 255 0,
"POLYGON ((490000 6310000,495000 6310000,495000 6315000,490000 6315000,490000 6310000))","      2","      4.4","      2.0","      6.7","     24.5","     19.0","     30.0",1988-10-25,1995-12-14,"   1996008298",0 255 0,
"POLYGON ((510000 6310000,515000 6310000,515000 6315000,510000 6315000,510000 6310000))","     45","     10.2","      2.2","     63.0","     35.0","     17.0","     60.0",1965-10-14,2019-09-23,"       101512",255 255 0,
"POLYGON ((540000 6305000,545000 6305000,545000 6310000,540000 6310000,540000 6305000))","     17","     25.8","      4.6","     41.0","     38.6","     14.0","     68.0",1981-11-06,2016-11-29,"   2001025397",255 125 0,
"POLYGON ((530000 6280000,535000 6280000,535000 6285000,530000 6285000,530000 6280000))","      3","      7.9","      2.0","     19.0","     35.5","     25.0","     44.0",1990-04-02,2011-03-09,"   2006277099",0 255 0,
"POLYGON ((445000 6260000,450000 6260000,450000 6265000,445000 6265000,445000 6260000))","      4","      6.6","      2.0","     12.0","     15.0","      8.0","     20.0",1977-07-06,2000-12-13,"       102211",0 255 0,
"POLYGON ((505000 6270000,510000 6270000,510000 6275000,505000 6275000,505000 6270000))","      8","     20.3","      2.1","     60.0","     34.3","     27.4","     40.8",1995-10-31,2016-10-17,"   1996008446",255 255 0,
"POLYGON ((490000 6265000,495000 6265000,495000 6270000,490000 6270000,490000 6265000))","      8","     15.2","      2.0","     38.0","     25.6","      4.4","     40.0",1967-11-15,1997-07-28,"       102312",255 255 0,
"POLYGON ((520000 6270000,525000 6270000,525000 6275000,520000 6275000,520000 6270000))","     12","     23.1","      3.0","     79.0","     24.8","      4.0","     85.0",1959-03-07,2010-09-06,"       102350",255 255 0,
"POLYGON ((510000 6270000,515000 6270000,515000 6275000,510000 6275000,510000 6270000))","      2","      9.2","      5.3","     13.0","     61.0","     50.0","     72.0",1997-08-04,2003-03-12,"   1998009047",0 255 0,
"POLYGON ((470000 6245000,475000 6245000,475000 6250000,470000 6250000,470000 6245000))","      9","     14.4","      2.2","     59.0","      8.1","      3.5","     21.0",1993-09-06,2010-05-27,"         2416",255 255 0,
"POLYGON ((515000 6255000,520000 6255000,520000 6260000,515000 6260000,515000 6255000))","     11","     17.9","      2.5","     70.0","     27.2","     12.0","     51.0",1964-03-03,2002-10-14,"       102876",255 255 0,
"POLYGON ((615000 6255000,620000 6255000,620000 6260000,615000 6260000,615000 6255000))","     37","     44.4","      6.8","    106.0","     10.9","      4.0","     20.0",1970-12-18,2017-04-20,"       103337",255 125 0,
"POLYGON ((600000 6230000,605000 6230000,605000 6235000,600000 6235000,600000 6230000))","     27","      9.7","      2.1","     33.0","     36.8","      6.0","     71.0",1946-01-01,2018-01-26,"       104264",0 255 0,
"POLYGON ((565000 6210000,570000 6210000,570000 6215000,565000 6215000,565000 6210000))","      4","      6.7","      5.0","      8.3","     52.4","     32.8","     72.0",1960-08-03,2004-06-21,"       105410",0 255 0,
"POLYGON ((530000 6190000,535000 6190000,535000 6195000,530000 6195000,530000 6190000))","      9","     14.0","      4.2","     51.0","     42.9","     21.0","     57.0",1971-08-06,2000-06-28,"       105831",255 255 0,
"POLYGON ((550000 6190000,555000 6190000,555000 6195000,550000 6195000,550000 6190000))","      7","     43.7","      2.4","    115.0","     16.4","      3.0","     48.0",1914-05-28,2018-12-12,"          788",255 125 0,
"POLYGON ((550000 6185000,555000 6185000,555000 6190000,550000 6190000,550000 6185000))","     14","     24.1","      2.0","     48.5","     26.7","     16.0","     49.0",1948-02-25,2011-10-13,"       105914",255 255 0,
"POLYGON ((480000 6180000,485000 6180000,485000 6185000,480000 6185000,480000 6180000))","     20","     23.1","      4.6","     53.0","     17.4","      9.5","     21.0",1976-10-11,2003-08-19,"       106190",255 255 0,
"POLYGON ((600000 6180000,605000 6180000,605000 6185000,600000 6185000,600000 6180000))","     18","     77.5","      5.8","    140.0","      5.4","      5.0","      5.7",1992-05-05,2004-05-27,"   2013015309",255 0 0,
"POLYGON ((530000 6165000,535000 6165000,535000 6170000,530000 6170000,530000 6165000))","      1","      7.4","      7.4","      7.4","     68.0","     68.0","     68.0",1977-02-28,1977-02-28,"       107101",0 255 0,
"POLYGON ((575000 6115000,580000 6115000,580000 6120000,575000 6120000,575000 6115000))","      5","     31.5","      2.0","     78.0","     35.0","      2.5","     56.0",1977-09-13,2011-11-08,"   1995001434",255 125 0,
"POLYGON ((615000 6095000,620000 6095000,620000 6100000,615000 6100000,615000 6095000))","     11","     32.4","      2.6","    115.0","     31.9","      7.0","     49.0",1958-02-08,2011-10-03,"   2002023003",255 125 0,
"POLYGON ((590000 6075000,595000 6075000,595000 6080000,590000 6080000,590000 6075000))","     97","     14.1","      2.1","     34.0","     29.5","     15.0","     43.0",1983-10-18,2020-11-25,"   2006059288",255 255 0,
"POLYGON ((685000 6210000,690000 6210000,690000 6215000,685000 6215000,685000 6210000))","    358","     11.7","      2.4","     32.0","     16.6","      5.0","     45.3",1937-09-01,2016-04-12,"       109992",255 255 0,
"POLYGON ((720000 6190000,725000 6190000,725000 6195000,720000 6195000,720000 6190000))","     10","     12.7","      2.4","     48.8","     25.1","      8.0","     54.3",2000-10-25,2008-12-10,"   2006042446",255 255 0,
"POLYGON ((630000 6170000,635000 6170000,635000 6175000,630000 6175000,630000 6170000))","      6","     37.7","      8.5","     72.0","     17.5","      3.0","     36.0",1919-09-26,1980-11-26,"       110970",255 125 0,
"POLYGON ((695000 6160000,700000 6160000,700000 6165000,695000 6165000,695000 6160000))","     69","      9.2","      2.3","     42.8","     25.8","     19.7","     34.7",1970-07-12,2019-04-03,"   1995016033",0 255 0,
"POLYGON ((690000 6160000,695000 6160000,695000 6165000,690000 6165000,690000 6160000))","     11","      6.1","      2.8","     19.0","     39.9","     21.5","     57.0",1976-06-23,2008-06-04,"       154960",0 255 0,
"POLYGON ((685000 6150000,690000 6150000,690000 6155000,685000 6155000,685000 6150000))","     16","      2.5","      2.0","      6.0","     31.5","     12.0","     45.0",1958-07-14,2005-01-17,"       155681",0 255 0,
"POLYGON ((670000 6135000,675000 6135000,675000 6140000,670000 6140000,670000 6135000))","      3","      6.3","      3.0","     14.0","     15.7","      2.0","     29.4",2001-10-03,2009-06-17,"   2003002480",0 255 0,
"POLYGON ((685000 6140000,690000 6140000,690000 6145000,685000 6145000,685000 6140000))","      5","     28.6","      2.6","     62.0","     30.0","     21.0","     41.0",1977-12-15,1989-03-21,"   2006387083",255 125 0,
"POLYGON ((710000 6100000,715000 6100000,715000 6105000,710000 6105000,710000 6100000))","      6","     25.1","      2.7","     72.0","     39.2","      8.9","     69.0",1972-05-23,2001-10-22,"       115935",255 125 0,
"POLYGON ((680000 6095000,685000 6095000,685000 6100000,680000 6100000,680000 6095000))","      3","     21.2","      3.4","     39.0","     24.1","     22.0","     26.1",1917-09-05,1989-10-11,"       116169",255 255 0,
"POLYGON ((635000 6075000,640000 6075000,640000 6080000,635000 6080000,635000 6075000))","      3","     70.0","     49.0","     86.0","     17.8","     12.6","     23.0",1917-12-08,1976-05-05,"       116215",255 0 0,
"POLYGON ((490000 6320000,495000 6320000,495000 6325000,490000 6325000,490000 6320000))","      7","     37.7","     17.0","     59.0","     15.7","     10.0","     21.0",1973-05-14,2000-01-17,"   1995012080",255 125 0,
"POLYGON ((555000 6210000,560000 6210000,560000 6215000,555000 6215000,555000 6210000))","      6","     31.2","      3.0","     84.0","     13.8","       .9","     32.8",1977-06-22,2015-04-28,"         8524",255 125 0,
"POLYGON ((555000 6280000,560000 6280000,560000 6285000,555000 6285000,555000 6280000))","     14","     59.1","      2.2","     90.0","     22.5","       .5","     72.0",1976-07-16,2020-05-28,"       102083",255 0 0,
"POLYGON ((550000 6085000,555000 6085000,555000 6090000,550000 6090000,550000 6085000))","      2","     13.0","     12.0","     14.0","     10.0","     10.0","     10.0",2001-08-20,2001-10-19,"   2002001740",255 255 0,
"POLYGON ((465000 6305000,470000 6305000,470000 6310000,465000 6310000,465000 6305000))","     17","     18.9","      2.2","     65.0","     12.1","      1.8","     18.0",1995-11-20,2016-11-28,"   2003001657",255 255 0,
"POLYGON ((660000 6055000,665000 6055000,665000 6060000,660000 6060000,660000 6055000))","      3","     33.3","     23.0","     61.0","      8.9","      1.7","     16.0",1963-10-30,2002-12-14,"       116506",255 125 0,
"POLYGON ((495000 6190000,500000 6190000,500000 6195000,495000 6195000,495000 6190000))","      4","     31.4","     13.2","     51.0","     36.8","      9.0","     80.5",1977-06-27,2007-06-27,"   2002016341",255 125 0,
"POLYGON ((550000 6180000,555000 6180000,555000 6185000,550000 6185000,550000 6180000))","      7","     12.8","      2.3","     29.7","     25.2","     -2.0","     39.6",1989-09-26,2020-01-22,"        12800",255 255 0,
"POLYGON ((540000 6150000,545000 6150000,545000 6155000,540000 6155000,540000 6150000))","      3","     25.9","      2.7","     50.0","     27.0","      6.0","     52.0",1964-10-14,2013-06-18,"       107668",255 125 0,
"POLYGON ((465000 6295000,470000 6295000,470000 6300000,465000 6300000,465000 6295000))","      8","     19.4","      2.4","     58.0","     14.8","      1.2","     40.0",1976-03-01,2016-09-12,"   1999011365",255 255 0,
"POLYGON ((625000 6345000,630000 6345000,630000 6350000,625000 6350000,625000 6345000))","      1","     46.0","     46.0","     46.0","     -1.0","     -1.0","     -1.0",1963-09-24,1963-09-24,"       100439",255 125 0,
"POLYGON ((495000 6320000,500000 6320000,500000 6325000,495000 6325000,495000 6320000))","      2","     22.2","      2.4","     42.0","     15.0","     13.0","     16.9",1998-01-20,1999-09-08,"   1999011444",255 255 0,
"POLYGON ((455000 6250000,460000 6250000,460000 6255000,455000 6255000,455000 6250000))","      4","     21.9","      3.8","     40.0","     18.8","      6.0","     31.5",1977-07-06,1977-07-06,"   2006380283",255 255 0,
"POLYGON ((505000 6255000,510000 6255000,510000 6260000,505000 6260000,505000 6255000))","     14","      7.9","      2.1","     20.0","     29.8","      5.0","     45.0",1973-05-17,2018-08-13,"        15335",0 255 0,
"POLYGON ((615000 6240000,620000 6240000,620000 6245000,615000 6245000,615000 6240000))","      5","     31.4","     22.0","     44.0","     12.6","      6.5","     19.0",1997-12-09,2003-11-27,"   2008072427",255 125 0,
"POLYGON ((535000 6155000,540000 6155000,540000 6160000,535000 6160000,535000 6155000))","     22","     10.3","      2.0","     26.0","     20.1","      1.0","     47.6",1958-11-19,2019-06-24,"       107036",255 255 0,
"POLYGON ((600000 6160000,605000 6160000,605000 6165000,600000 6165000,600000 6160000))","      6","     12.2","      5.5","     22.6","      9.7","      7.0","     14.0",1964-10-13,1999-09-15,"   1999006386",255 255 0,
"POLYGON ((500000 6120000,505000 6120000,505000 6125000,500000 6125000,500000 6120000))","      8","     26.8","      2.0","     50.0","     18.8","     10.0","     34.0",1977-07-05,2012-11-14,"   2002001448",255 125 0,
"POLYGON ((540000 6120000,545000 6120000,545000 6125000,540000 6125000,540000 6120000))","      2","     13.6","      3.0","     24.2","     32.0","     27.0","     37.0",1953-02-21,2018-01-09,"       108736",255 255 0,
"POLYGON ((490000 6105000,495000 6105000,495000 6110000,490000 6110000,490000 6105000))","     11","     27.8","      2.0","     65.0","     13.0","      1.0","     19.5",1993-10-19,2012-12-06,"   2002001475",255 125 0,
"POLYGON ((670000 6165000,675000 6165000,675000 6170000,670000 6170000,670000 6165000))","      3","      2.5","      2.0","      3.4","     15.6","      2.0","     28.9",1966-01-25,1987-10-06,"       151902",0 255 0,
"POLYGON ((650000 6090000,655000 6090000,655000 6095000,650000 6095000,650000 6090000))","      2","      6.0","      2.0","     10.0","     34.5","     34.0","     35.0",1960-11-19,1995-05-17,"       116090",0 255 0,
"POLYGON ((640000 6070000,645000 6070000,645000 6075000,640000 6075000,640000 6070000))","      1","      3.0","      3.0","      3.0","      6.4","      6.4","      6.4",1976-05-05,1976-05-05,"       116235",0 255 0,
"POLYGON ((650000 6075000,655000 6075000,655000 6080000,650000 6080000,650000 6075000))","     69","     20.4","      2.3","     52.0","     36.1","     33.3","     43.0",1941-06-27,2015-12-16,"       155033",255 255 0,
"POLYGON ((480000 6105000,485000 6105000,485000 6110000,480000 6110000,480000 6105000))","      6","     32.8","      8.0","     77.0","      9.5","      7.0","     11.0",1977-07-04,2001-10-19,"       108662",255 125 0,
"POLYGON ((655000 6155000,660000 6155000,660000 6160000,655000 6160000,655000 6155000))","      7","     21.8","      5.3","     53.0","      7.3","      3.5","     13.2",2001-10-23,2002-03-18,"   2002027755",255 255 0,
"POLYGON ((590000 6345000,595000 6345000,595000 6350000,590000 6350000,590000 6345000))","      3","     39.3","     31.0","     51.0","     24.6","     23.0","     26.4",2002-08-15,2002-08-15,"   2003024863",255 125 0,
"POLYGON ((520000 6315000,525000 6315000,525000 6320000,520000 6320000,520000 6315000))","      9","     21.0","     19.0","     35.0","     31.0","     31.0","     31.0",1968-05-01,2020-05-27,"   2020028079",255 255 0,
"POLYGON ((510000 6290000,515000 6290000,515000 6295000,510000 6295000,510000 6290000))","      2","     37.3","      2.6","     72.0","     60.3","     18.5","    102.0",2000-09-26,2007-11-14,"   2007053305",255 125 0,
"POLYGON ((480000 6255000,485000 6255000,485000 6260000,480000 6260000,480000 6255000))","      2","     30.0","     30.0","     30.0","     18.0","     18.0","     18.0",1977-07-26,1977-07-26,"   2006380382",255 125 0,
"POLYGON ((460000 6230000,465000 6230000,465000 6235000,460000 6235000,460000 6230000))","      1","     44.0","     44.0","     44.0","     39.0","     39.0","     39.0",2011-06-07,2011-06-07,"   2011011609",255 125 0,
"POLYGON ((520000 6140000,525000 6140000,525000 6145000,520000 6145000,520000 6140000))","      1","     53.0","     53.0","     53.0","     45.5","     45.5","     45.5",1990-03-07,1990-03-07,"   2006385923",255 0 0,
"POLYGON ((525000 6095000,530000 6095000,530000 6100000,525000 6100000,525000 6095000))","      3","      7.6","      2.2","     10.9","     21.5","     10.0","     33.0",2001-08-10,2009-12-02,"   2002001605",0 255 0,
"POLYGON ((650000 6200000,655000 6200000,655000 6205000,650000 6205000,650000 6200000))","      1","      4.9","      4.9","      4.9","     42.0","     42.0","     42.0",1980-05-28,1980-05-28,"   2006388264",0 255 0,
"POLYGON ((695000 6210000,700000 6210000,700000 6215000,695000 6215000,695000 6210000))","      2","      2.4","      2.2","      2.5","     27.0","     14.5","     39.5",1972-02-17,1972-02-22,"       109932",0 255 0,
"POLYGON ((675000 6120000,680000 6120000,680000 6125000,675000 6125000,675000 6120000))","      1","     64.0","     64.0","     64.0","     20.7","     20.7","     20.7",1978-09-06,1978-09-06,"       115635",255 0 0,
"POLYGON ((675000 6110000,680000 6110000,680000 6115000,675000 6115000,675000 6110000))","      1","     31.0","     31.0","     31.0","     40.0","     40.0","     40.0",1926-04-08,1926-04-08,"       115818",255 125 0,
"POLYGON ((685000 6055000,690000 6055000,690000 6060000,685000 6060000,685000 6055000))","      1","      7.0","      7.0","      7.0","     15.0","     15.0","     15.0",1970-04-10,1970-04-10,"       116640",0 255 0,
"POLYGON ((555000 6345000,560000 6345000,560000 6350000,555000 6350000,555000 6345000))","     11","      8.4","      2.2","     17.0","     38.7","     32.0","     47.0",1960-10-01,2020-09-23,"       100700",0 255 0,
"POLYGON ((445000 6235000,450000 6235000,450000 6240000,445000 6240000,445000 6235000))","      1","      2.1","      2.1","      2.1","    150.0","    150.0","    150.0",1981-09-02,1981-09-02,"       103489",0 255 0,
"POLYGON ((460000 6190000,465000 6190000,465000 6195000,460000 6195000,460000 6190000))","      3","      5.6","      5.0","      6.2","     12.5","      9.0","     16.0",1960-01-28,1976-07-13,"       105617",0 255 0,
"POLYGON ((580000 6110000,585000 6110000,585000 6115000,580000 6115000,580000 6110000))","     19","     33.0","      2.2","     69.0","     20.5","      4.0","     40.0",1994-11-01,2020-05-13,"   1995009809",255 125 0,
"POLYGON ((485000 6100000,490000 6100000,490000 6105000,485000 6105000,485000 6100000))","      8","     16.6","      3.6","     45.0","     26.0","     22.0","     29.0",1991-10-21,2009-06-30,"   1996011785",255 255 0,
"POLYGON ((575000 6100000,580000 6100000,580000 6105000,575000 6105000,575000 6100000))","      3","     70.0","     70.0","     80.0","      8.5","      8.5","      8.5",1966-04-26,1967-11-13,"   2006059011",255 0 0,
"POLYGON ((690000 6195000,695000 6195000,695000 6200000,690000 6200000,690000 6195000))","      1","     18.0","     18.0","     18.0","     26.0","     26.0","     26.0",1972-02-10,1972-02-10,"       110721",255 255 0,
"POLYGON ((680000 6180000,685000 6180000,685000 6185000,680000 6185000,680000 6180000))","      3","     15.2","      3.9","     30.0","     33.0","     30.0","     36.0",1979-10-10,1996-01-15,"       131254",255 255 0,
"POLYGON ((685000 6080000,690000 6080000,690000 6085000,685000 6085000,685000 6080000))","      2","     20.5","     12.0","     29.0","     38.4","     37.5","     39.2",1942-01-13,2007-12-03,"       116173",255 255 0,
"POLYGON ((660000 6165000,665000 6165000,665000 6170000,660000 6170000,660000 6165000))","      4","     16.7","      2.0","     45.0","     18.9","      6.0","     31.9",1987-11-16,2002-09-23,"   2002027806",255 255 0,
"POLYGON ((675000 6115000,680000 6115000,680000 6120000,675000 6120000,675000 6115000))","      3","      8.9","      2.7","     23.0","      4.7","      3.6","      5.8",2001-09-27,2002-11-11,"   2003002530",0 255 0,
"POLYGON ((640000 6085000,645000 6085000,645000 6090000,640000 6090000,640000 6085000))","      7","     17.0","      2.0","     36.0","     21.5","      1.6","     48.5",1976-05-05,2021-01-21,"       116086",255 255 0,
"POLYGON ((545000 6200000,550000 6200000,550000 6205000,545000 6205000,545000 6200000))","      1","      4.9","      4.9","      4.9","      6.8","      6.8","      6.8",2004-01-07,2004-01-07,"   2006030725",0 255 0,
"POLYGON ((465000 6275000,470000 6275000,470000 6280000,465000 6280000,465000 6275000))","      1","      7.0","      7.0","      7.0","     32.9","     32.9","     32.9",1981-12-14,1981-12-14,"       101931",0 255 0,
